sequence,theme,product,group,screen_id,screen_title_exact,state_id,state_label_exact,relative_path,capture_target,excluded,source_file,source_sha256,width_px,height_px,added_by_completion
66,dark,Suite · Paciente,Cognitivo,registro,Registro de pensamientos (TCC),s1otro,Emoción · Otro,dark/Suite · Paciente/Cognitivo/Registro de pensamientos (TCC)/Emoción · Otro.png,.window,sidebar/navegador web del mockup y controles externos del stage,neuromood-mockup(6).html,0944e6516c0da83cf3d68d5e1ae3ebdf1f9dd9fe3261a0d49131b03634587b4e,980,571,
67,dark,Suite · Paciente,Cognitivo,registro,Registro de pensamientos (TCC),s2,Distorsiones,dark/Suite · Paciente/Cognitivo/Registro de pensamientos (TCC)/Distorsiones.png,.window,sidebar/navegador web del mockup y controles externos del stage,neuromood-mockup(6).html,0944e6516c0da83cf3d68d5e1ae3ebdf1f9dd9fe3261a0d49131b03634587b4e,980,571,
68,dark,Suite · Paciente,Cognitivo,registro,Registro de pensamientos (TCC),s3,Respuesta,dark/Suite · Paciente/Cognitivo/Registro de pensamientos (TCC)/Respuesta.png,.window,sidebar/navegador web del mockup y controles externos del stage,neuromood-mockup(6).html,0944e6516c0da83cf3d68d5e1ae3ebdf1f9dd9fe3261a0d49131b03634587b4e,980,571,
69,dark,Suite · Paciente,Cognitivo,registro,Registro de pensamientos (TCC),ok,Éxito,dark/Suite · Paciente/Cognitivo/Registro de pensamientos (TCC)/Éxito.png,.window,sidebar/navegador web del mockup y controles externos del stage,neuromood-mockup(6).html,0944e6516c0da83cf3d68d5e1ae3ebdf1f9dd9fe3261a0d49131b03634587b4e,980,571,
70,dark,Suite · Paciente,Acceso,onboarding,Onboarding,normal,Normal,dark/Suite · Paciente/Acceso/Onboarding/Normal.png,.window,sidebar/navegador web del mockup y controles externos del stage,neuromood-mockup(6).html,0944e6516c0da83cf3d68d5e1ae3ebdf1f9dd9fe3261a0d49131b03634587b4e,560,669,
71,dark,Suite · Paciente,Acceso,onboarding,Onboarding,error,Error,dark/Suite · Paciente/Acceso/Onboarding/Error.png,.window,sidebar/navegador web del mockup y controles externos del stage,neuromood-mockup(6).html,0944e6516c0da83cf3d68d5e1ae3ebdf1f9dd9fe3261a0d49131b03634587b4e,560,686,
72,dark,Suite · Paciente,Acceso,recuperar,Recuperar acceso,default,Recuperar acceso,dark/Suite · Paciente/Acceso/Recuperar acceso/Recuperar acceso.png,.window,sidebar/navegador web del mockup y controles externos del stage,neuromood-mockup(6).html,0944e6516c0da83cf3d68d5e1ae3ebdf1f9dd9fe3261a0d49131b03634587b4e,560,686,
73,dark,Hub · Clínico,Pacientes,pacientes,Pacientes,list,Lista activa,dark/Hub · Clínico/Pacientes/Pacientes/Lista activa.png,.window,sidebar/navegador web del mockup y controles externos del stage,neuromood-mockup(6).html,0944e6516c0da83cf3d68d5e1ae3ebdf1f9dd9fe3261a0d49131b03634587b4e,980,574,
74,dark,Hub · Clínico,Pacientes,pacientes,Pacientes,empty,Vacío,dark/Hub · Clínico/Pacientes/Pacientes/Vacío.png,.window,sidebar/navegador web del mockup y controles externos del stage,neuromood-mockup(6).html,0944e6516c0da83cf3d68d5e1ae3ebdf1f9dd9fe3261a0d49131b03634587b4e,980,569,
75,dark,Hub · Clínico,Pacientes,detalle,Detalle de paciente,default,Detalle de paciente,dark/Hub · Clínico/Pacientes/Detalle de paciente/Detalle de paciente.png,.window,sidebar/navegador web del mockup y controles externos del stage,neuromood-mockup(6).html,0944e6516c0da83cf3d68d5e1ae3ebdf1f9dd9fe3261a0d49131b03634587b4e,980,571,
76,dark,Hub · Clínico,Configuración,textos,Textos globales,default,Textos globales,dark/Hub · Clínico/Configuración/Textos globales/Textos globales.png,.window,sidebar/navegador web del mockup y controles externos del stage,neuromood-mockup(6).html,0944e6516c0da83cf3d68d5e1ae3ebdf1f9dd9fe3261a0d49131b03634587b4e,980,622,
77,light,Hub · Clínico,Pacientes,detalle,Detalle de paciente,hub-tab-timer,Temporizador de Actividades,light/Hub · Clínico/Pacientes/Detalle de paciente/Temporizador de Actividades.png,.window,sidebar/navegador web del mockup y controles externos del stage; modales capturados por #modal cuando corresponde,neuromood-mockup(6).html,0944e6516c0da83cf3d68d5e1ae3ebdf1f9dd9fe3261a0d49131b03634587b4e,980,572,True
78,light,Hub · Clínico,Pacientes,detalle,Detalle de paciente,hub-tab-rutina,Checklist de Rutina Diaria,light/Hub · Clínico/Pacientes/Detalle de paciente/Checklist de Rutina Diaria.png,.window,sidebar/navegador web del mockup y controles externos del stage; modales capturados por #modal cuando corresponde,neuromood-mockup(6).html,0944e6516c0da83cf3d68d5e1ae3ebdf1f9dd9fe3261a0d49131b03634587b4e,980,572,True
79,light,Hub · Clínico,Pacientes,detalle,Detalle de paciente,hub-tab-activacion,Asistente de Activación Conductual,light/Hub · Clínico/Pacientes/Detalle de paciente/Asistente de Activación Conductual.png,.window,sidebar/navegador web del mockup y controles externos del stage; modales capturados por #modal cuando corresponde,neuromood-mockup(6).html,0944e6516c0da83cf3d68d5e1ae3ebdf1f9dd9fe3261a0d49131b03634587b4e,980,642,True
80,light,Hub · Clínico,Pacientes,detalle,Detalle de paciente,modal-resumen-ia,Resumen IA,light/Hub · Clínico/Pacientes/Detalle de paciente/Resumen IA.png,#modal,sidebar/navegador web del mockup y controles externos del stage; modales capturados por #modal cuando corresponde,neuromood-mockup(6).html,0944e6516c0da83cf3d68d5e1ae3ebdf1f9dd9fe3261a0d49131b03634587b4e,560,220,True
