app,view,theme,resolution,status,ssim,ssim_method,mean_abs_diff,max_abs_diff,changed_pixel_ratio,size_mismatch,acceptance_failures,capture_status,capture_technical_valid,capture_state_valid,capture_evidence_flags,target_file,actual_file,diff_file
suite,onboarding-error,light,520x600,FAIL,0.49946,skimage,0.07344,0.80392,0.41584,False,"ssim<0.92,mad>0.035,changed>0.08",CAPTURED_VALID,True,True,,qa\_mockup_targets\suite-onboarding-error-light-520x600.png,qa\nm_capturas_actualizadas\suite-onboarding-error-light-520x600.png,
suite,recuperar-acceso,dark,520x600,FAIL,0.48018,skimage,0.0748,0.90196,0.27592,False,"ssim<0.92,mad>0.035,changed>0.08",CAPTURED_VALID,True,True,,qa\_mockup_targets\suite-recuperar-acceso-dark-520x600.png,qa\nm_capturas_actualizadas\suite-recuperar-acceso-dark-520x600.png,
suite,recuperar-acceso,light,520x600,FAIL,0.48811,skimage,0.07302,0.80392,0.40062,False,"ssim<0.92,mad>0.035,changed>0.08",CAPTURED_VALID,True,True,,qa\_mockup_targets\suite-recuperar-acceso-light-520x600.png,qa\nm_capturas_actualizadas\suite-recuperar-acceso-light-520x600.png,
suite,registro,dark,960x600,FAIL,0.81631,skimage,0.03662,0.83922,0.1789,False,"ssim<0.92,mad>0.035,changed>0.08",CAPTURED_VALID,True,True,,qa\_mockup_targets\suite-registro-dark-960x600.png,qa\nm_capturas_actualizadas\suite-registro-dark-960x600.png,
suite,registro,light,960x600,FAIL,0.83088,skimage,0.05654,0.80392,0.58537,False,"ssim<0.92,mad>0.035,changed>0.08",CAPTURED_VALID,True,True,,qa\_mockup_targets\suite-registro-light-960x600.png,qa\nm_capturas_actualizadas\suite-registro-light-960x600.png,
suite,registro-step1-emotion,dark,960x600,FAIL,0.75327,skimage,0.05579,0.84314,0.24765,False,"ssim<0.92,mad>0.035,changed>0.08",CAPTURED_VALID,True,True,,qa\_mockup_targets\suite-registro-step1-emotion-dark-960x600.png,qa\nm_capturas_actualizadas\suite-registro-step1-emotion-dark-960x600.png,
suite,registro-step1-emotion,light,960x600,FAIL,0.77616,skimage,0.07553,0.83137,0.44142,False,"ssim<0.92,mad>0.035,changed>0.08",CAPTURED_VALID,True,True,,qa\_mockup_targets\suite-registro-step1-emotion-light-960x600.png,qa\nm_capturas_actualizadas\suite-registro-step1-emotion-light-960x600.png,
suite,registro-step1-emotion-otro,dark,960x600,FAIL,0.74341,skimage,0.05612,0.83922,0.24357,False,"ssim<0.92,mad>0.035,changed>0.08",CAPTURED_VALID,True,True,,qa\_mockup_targets\suite-registro-step1-emotion-otro-dark-960x600.png,qa\nm_capturas_actualizadas\suite-registro-step1-emotion-otro-dark-960x600.png,
suite,registro-step1-emotion-otro,light,960x600,FAIL,0.76588,skimage,0.075,0.83137,0.49196,False,"ssim<0.92,mad>0.035,changed>0.08",CAPTURED_VALID,True,True,,qa\_mockup_targets\suite-registro-step1-emotion-otro-light-960x600.png,qa\nm_capturas_actualizadas\suite-registro-step1-emotion-otro-light-960x600.png,
suite,registro-step2-distortions,dark,960x600,FAIL,0.73751,skimage,0.05851,0.84314,0.32625,False,"ssim<0.92,mad>0.035,changed>0.08",CAPTURED_VALID,True,True,,qa\_mockup_targets\suite-registro-step2-distortions-dark-960x600.png,qa\nm_capturas_actualizadas\suite-registro-step2-distortions-dark-960x600.png,
suite,registro-step2-distortions,light,960x600,FAIL,0.76211,skimage,0.07138,0.82353,0.58501,False,"ssim<0.92,mad>0.035,changed>0.08",CAPTURED_VALID,True,True,,qa\_mockup_targets\suite-registro-step2-distortions-light-960x600.png,qa\nm_capturas_actualizadas\suite-registro-step2-distortions-light-960x600.png,
suite,registro-step3-filled,dark,960x600,FAIL,0.77382,skimage,0.05117,0.83922,0.19342,False,"ssim<0.92,mad>0.035,changed>0.08",CAPTURED_VALID,True,True,,qa\_mockup_targets\suite-registro-step3-filled-dark-960x600.png,qa\nm_capturas_actualizadas\suite-registro-step3-filled-dark-960x600.png,
suite,registro-step3-filled,light,960x600,FAIL,0.78709,skimage,0.07382,0.81569,0.63998,False,"ssim<0.92,mad>0.035,changed>0.08",CAPTURED_VALID,True,True,,qa\_mockup_targets\suite-registro-step3-filled-light-960x600.png,qa\nm_capturas_actualizadas\suite-registro-step3-filled-light-960x600.png,
suite,registro-success,dark,960x600,FAIL,0.81012,skimage,0.04995,0.83137,0.18889,False,"ssim<0.92,mad>0.035,changed>0.08",CAPTURED_VALID,True,True,,qa\_mockup_targets\suite-registro-success-dark-960x600.png,qa\nm_capturas_actualizadas\suite-registro-success-dark-960x600.png,
suite,registro-success,light,960x600,FAIL,0.8296,skimage,0.06694,0.81176,0.65457,False,"ssim<0.92,mad>0.035,changed>0.08",CAPTURED_VALID,True,True,,qa\_mockup_targets\suite-registro-success-light-960x600.png,qa\nm_capturas_actualizadas\suite-registro-success-light-960x600.png,
suite,respiracion,dark,960x600,FAIL,0.84363,skimage,0.03039,0.83529,0.13856,False,"ssim<0.92,changed>0.08",CAPTURED_VALID,True,True,,qa\_mockup_targets\suite-respiracion-dark-960x600.png,qa\nm_capturas_actualizadas\suite-respiracion-dark-960x600.png,
